at,response_time,name_lookup_time,connection_time,tls_handshake_time,data_transfer_time,region,data_particao
2025-12-18T22:03:08.000Z,0.2353,2e-05,0.00182,0.01611,0.21734,as,2025-11-17
2025-12-18T22:23:02.000Z,0.28992,3e-05,0.00124,0.0203,0.26834,as,2025-11-17
2025-12-18T22:43:09.000Z,0.4843,4e-05,0.00156,0.10456,0.37814,as,2025-11-17
2025-12-18T23:03:02.000Z,0.2222,2e-05,0.00121,0.02219,0.19878,as,2025-11-17
2025-12-18T23:23:08.000Z,0.20228,3e-05,0.00123,0.01499,0.18603,as,2025-11-17
2025-12-18T23:43:02.000Z,0.56944,2e-05,0.00105,0.08991,0.47846,as,2025-11-17
2025-12-19T00:03:08.000Z,0.46565,3e-05,0.07498,0.11746,0.27319,as,2025-11-17
2025-12-19T00:23:02.000Z,0.2622,2e-05,0.00132,0.0175,0.24335,as,2025-11-17
2025-12-19T00:43:05.000Z,0.48063,9e-05,0.00809,0.14154,0.3309,as,2025-11-17
2025-12-19T01:03:02.000Z,0.546,2e-05,0.00155,0.01555,0.52888,as,2025-11-17
2025-12-19T01:23:08.000Z,0.29662,2e-05,0.00582,0.02549,0.2653,as,2025-11-17
2025-12-19T01:43:03.000Z,0.37324,2e-05,0.00259,0.11753,0.25311,as,2025-11-17
2025-12-19T02:03:05.000Z,0.21906,3e-05,0.00217,0.01622,0.20064,as,2025-11-17
2025-12-19T02:23:01.000Z,0.29674,6e-05,0.00143,0.01826,0.27698,as,2025-11-17
2025-12-19T02:43:10.000Z,0.42297,5e-05,0.00167,0.1395,0.28176,as,2025-11-17
2025-12-19T03:03:02.000Z,0.2137,4e-05,0.00177,0.01716,0.19474,as,2025-11-17
2025-12-19T03:23:05.000Z,0.31699,4e-05,0.00197,0.05872,0.25626,as,2025-11-17
2025-12-19T03:43:02.000Z,0.61302,2e-05,0.00429,0.2403,0.36841,as,2025-11-17
2025-12-18T04:08:03.000Z,0.27263,4e-05,0.00082,0.02141,0.25036,au,2025-11-17
2025-12-18T04:28:04.000Z,0.41834,2e-05,0.00887,0.16544,0.24401,au,2025-11-17
2025-12-18T04:48:04.000Z,0.28531,0.00026,0.00079,0.01577,0.26849,au,2025-11-17
2025-12-18T05:08:04.000Z,0.26594,2e-05,0.00079,0.0173,0.24783,au,2025-11-17
2025-12-18T05:28:09.000Z,0.27769,2e-05,0.00433,0.01967,0.25366,au,2025-11-17
2025-12-18T05:48:04.000Z,0.28674,2e-05,0.00076,0.01941,0.26656,au,2025-11-17
2025-12-18T06:08:04.000Z,0.2785,2e-05,0.0011,0.0252,0.25218,au,2025-11-17
2025-12-18T06:28:04.000Z,0.44163,2e-05,0.00146,0.19454,0.24562,au,2025-11-17
2025-12-18T06:48:03.000Z,0.2794,4e-05,0.00083,0.03078,0.24775,au,2025-11-17
2025-12-18T07:08:04.000Z,0.43181,2e-05,0.00111,0.08649,0.34418,au,2025-11-17
2025-12-18T07:28:04.000Z,0.28785,3e-05,0.00656,0.02939,0.25186,au,2025-11-17
2025-12-18T07:48:03.000Z,0.37317,2e-05,0.00123,0.10746,0.26446,au,2025-11-17
2025-12-18T08:08:07.000Z,0.31344,4e-05,0.00635,0.04001,0.26704,au,2025-11-17
2025-12-18T08:28:04.000Z,0.69712,2e-05,0.03499,0.25685,0.40525,au,2025-11-17
2025-12-18T08:48:04.000Z,0.26779,5e-05,0.00074,0.01821,0.24878,au,2025-11-17
